First_Hire_School,State
Arizona State University,AR
Auburn University,AL
Boise State University,ID
Boston University,MA
Bowling Green State University,OH
Bradley University,IL
Brigham Young University,UT
Bucknell University,PA
California Polytechnic State University-San Luis Obispo,CA
"California State University, East Bay",CA
"California State University, Los Angeles",CA
California State University-Sacremento,CA
Carnegie Mellon University,PA
Case Western Reserve University,OH
Catholic University of America,DC
Clemson University,SC
Cleveland State University,OH
Colorado State University,CO
Columbia University,NY
Cornell University,NY
Drexel University,PA
Florida A&M University / Florida State University,FL
Florida Atlantic University,FL
Florida Institute of Technology,FL
Florida International University,FL
George Mason University,VA
George Washington University,DC
Georgia Institute of Technology,GA
Harbin Institute of Technology at Weihai,
Hong Kong University of Science and Technology,
Howard University,DC
Illinois Institute of Technology,IL
Iowa State University,IA
Jackson State University,MS
Johns Hopkins University,MD
Kanazawa University,
Kansas State University,KS
Kennesaw State University,GA
King Abdullah University of Science and Technology,
"King Saud University, Riyadh",
Lamar University,TX
Lawrence Technological University,MI
Lehigh University,PA
Louisiana State University,LA
Louisiana Tech University,LA
Marquette University,WI
Marshall University,WV
Massachusetts Institute of Technology,MA
McGill University,
Mercer University,GA
Michigan State University,MI
Michigan Technological University,MI
Missisippi State University,MS
Mississippi State University,MS
Missouri University of Science and Technology,MO
Morgan State University,MD
National University of San Juan,
National University of Singapore,
New Jersey Institute of Technology,NJ
New Mexico State University,NM
New York University,NY
North Carolina A&T State University,NC
North Carolina State University,NC
North Dakota State University,ND
Northeastern University,MA
Northwestern University,IL
Ohio University,OH
Oklahoma State University,OK
Old Dominion University,VA
Oregon State University,OR
Penn State University,PA
Portland State University,OR
Purdue University,IN
Rensselaer Polytechnic Institute,NY
Rochester Institute of Technology,NY
Rowan University,NJ
Rutgers University,NJ
Ryerson University,
Saint Louis University,MO
San Diego State University,CA
South Carolina State University,SC
South Dakota State University,SD
Southern Illinois University Edwardsville,IL
Southern Methodist University,TX
Southern Polytechnic State University,GA
Stony Brook University,NY
Syracuse University,NY
Tarleton State University,TX
Texas A&M University,TX
Texas A&M University-Kingsville,TX
Texas Southern University,TX
Texas Tech University,TX
The City University of New York,NY
The Ohio State University,OH
UC Irvine,CA
UCLA,CA
Universidad Nacional de Colombia,
University at Buffalo,NY
University of Akron,OH
University of Alabama,AL
University of Alabama at Birmingham,AL
University of Alabama in Huntsville,AL
"University of Alaska, Fairbanks",AK
University of Arizona,AZ
University of Arkansas,AR
University of British Columbia,
"University of California, Berkeley",CA
"University of California, Davis",CA
University of Canterbury,
University of Central Florida,FL
University of Cincinati,OH
University of Cincinnati,OH
University of Colorado Boulder,CO
University of Colorado Denver,CO
University of Connecticut,CT
University of Delaware,DE
University of Detroit Mercy,MI
University of Florida,FL
University of Georgia,GA
University of Hawaii at Manoa,HI
University of Idaho,ID
University of Illinois Chicago,IL
University of Illinois Urbana-Champaign,IL
University of Iowa,IA
University of Kansas,KS
University of Kentucky,KY
University of Louisiana at Lafayette,LA
University of Louisville,KY
University of Maine,ME
University of Maryland,MD
University of Massachusetts Amherst,MA
University of Massachusetts Lowell,MA
"University of Massachusetts, Amherst",MA
University of Memphis,TN
University of Michigan,MI
University of Minnesota,MN
University of Minnesota Duluth,MN
University of Mississippi,MS
University of Missouri,MO
University of Nebraska-Lincoln,NE
University of Nevada Las Vegas,NV
"University of Nevada, Reno",NV
University of New Hampshire,NH
University of New Mexico,NM
University of North Carolina at Chapel Hill,NC
University of North Dakota,ND
University of Oklahoma,OK
University of Pittsburgh,PA
University of Rhode Island,RI
University of Science and Technology of China,
University of Sierra Leone,
University of South Carolina,SC
University of South Florida,FL
University of Southern California,CA
"University of Tennessee, Knoxville",TN
University of Texas at Arlington,TX
University of Texas at Austin,TX
University of Texas at El Paso,TX
University of Texas at San Antonio,TX
University of Texas at Tyler,TX
University of Toledo,OH
University of Utah,UT
University of Vermont,VT
University of Virginia,VA
University of Washington,WA
University of Wisconsin-Madison,WI
University of Wisconsin-Milwaukee,WI
University of Wyoming,WY
Université de Sherbrooke,
Utah State University,UT
Vanderbilt University,TN
Villanova University,PA
Virginia Tech,VA
Washington State University,WA
Wayne State University,MI
West Virginia University,WV
West Virginia University Institute of Technology,WV
Western Michigan University,MI
Worcester Polytechnic Institute,MA
Zagazig University,
